day,demography,new_cases,hosp,icu,recovered,death,infected
2020-03-18,f_0,128.0,17,2,35,0,109.0
2020-03-18,h_0,136.0,23,4,39,0,109.0
2020-03-18,f_20,63.0,21,3,36,0,39.0
2020-03-18,h_20,67.0,29,6,40,1,32.0
2020-03-18,f_30,64.0,48,8,42,0,8.0
2020-03-18,h_30,63.0,64,16,47,1,-17.0
2020-03-18,f_40,69.0,86,17,50,2,-34.0
2020-03-18,h_40,67.0,115,36,57,3,-84.0
2020-03-18,f_50,74.0,173,41,71,2,-140.0
2020-03-18,h_50,73.0,234,91,81,2,-252.0
2020-03-18,f_60,71.0,248,69,60,8,-246.0
2020-03-18,h_60,67.0,336,151,68,9,-420.0
2020-03-18,f_70,64.0,291,71,49,19,-298.0
2020-03-18,h_70,57.0,394,155,55,23,-492.0
2020-03-18,f_80,22.0,351,29,36,65,-358.0
2020-03-18,h_80,11.0,475,65,40,81,-529.0
2020-03-19,f_0,163.0,19,2,49,0,142.0
2020-03-19,h_0,174.0,26,6,51,0,142.0
2020-03-19,f_20,81.0,26,3,60,1,52.0
2020-03-19,h_20,86.0,37,8,61,1,41.0
2020-03-19,f_30,82.0,72,11,69,0,-1.0
2020-03-19,h_30,81.0,99,27,72,1,-45.0
2020-03-19,f_40,89.0,126,23,78,3,-60.0
2020-03-19,h_40,86.0,175,57,81,3,-146.0
2020-03-19,f_50,94.0,243,63,121,4,-212.0
2020-03-19,h_50,93.0,337,153,125,6,-397.0
2020-03-19,f_60,91.0,359,87,90,14,-355.0
2020-03-19,h_60,86.0,496,211,93,19,-621.0
2020-03-19,f_70,81.0,433,97,89,34,-449.0
2020-03-19,h_70,73.0,598,234,92,44,-759.0
2020-03-19,f_80,28.0,552,36,71,102,-560.0
2020-03-19,h_80,14.0,762,89,73,134,-837.0
2020-03-20,f_0,217.0,20,2,59,0,195.0
2020-03-20,h_0,230.0,27,5,59,0,198.0
2020-03-20,f_20,107.0,33,3,72,0,71.0
2020-03-20,h_20,113.0,45,9,74,1,59.0
2020-03-20,f_30,109.0,89,15,88,0,5.0
2020-03-20,h_30,107.0,122,38,90,1,-53.0
2020-03-20,f_40,117.0,155,28,95,3,-66.0
2020-03-20,h_40,114.0,212,69,97,3,-167.0
2020-03-20,f_50,125.0,293,71,143,5,-239.0
2020-03-20,h_50,123.0,400,178,145,7,-455.0
2020-03-20,f_60,121.0,432,101,113,17,-412.0
2020-03-20,h_60,113.0,590,254,114,22,-731.0
2020-03-20,f_70,108.0,505,108,110,44,-505.0
2020-03-20,h_70,97.0,690,269,111,58,-862.0
2020-03-20,f_80,37.0,634,37,95,122,-634.0
2020-03-20,h_80,19.0,864,94,97,161,-939.0
2020-03-21,f_0,188.0,20,2,59,0,166.0
2020-03-21,h_0,200.0,27,5,59,0,168.0
2020-03-21,f_20,93.0,35,5,81,0,53.0
2020-03-21,h_20,98.0,49,12,80,1,37.0
2020-03-21,f_30,95.0,102,17,110,0,-24.0
2020-03-21,h_30,93.0,141,44,110,1,-92.0
2020-03-21,f_40,102.0,182,35,116,3,-115.0
2020-03-21,h_40,99.0,251,88,115,3,-240.0
2020-03-21,f_50,109.0,350,80,173,7,-321.0
2020-03-21,h_50,107.0,481,204,171,9,-578.0
2020-03-21,f_60,105.0,505,116,144,21,-516.0
2020-03-21,h_60,98.0,693,294,142,29,-889.0
2020-03-21,f_70,94.0,610,128,138,56,-644.0
2020-03-21,h_70,84.0,839,326,137,76,-1081.0
2020-03-21,f_80,32.0,743,42,119,148,-753.0
2020-03-21,h_80,17.0,1021,106,118,200,-1110.0
2020-03-22,f_0,215.0,23,2,64,0,190.0
2020-03-22,h_0,229.0,33,4,63,0,192.0
2020-03-22,f_20,106.0,44,5,90,0,57.0
2020-03-22,h_20,112.0,60,12,90,1,40.0
2020-03-22,f_30,108.0,121,20,128,1,-33.0
2020-03-22,h_30,106.0,168,52,126,1,-114.0
2020-03-22,f_40,117.0,218,40,141,4,-141.0
2020-03-22,h_40,113.0,303,102,140,5,-292.0
2020-03-22,f_50,124.0,421,95,198,7,-392.0
2020-03-22,h_50,122.0,583,243,196,9,-704.0
2020-03-22,f_60,120.0,593,133,171,28,-606.0
2020-03-22,h_60,112.0,824,338,169,37,-1050.0
2020-03-22,f_70,107.0,713,146,160,68,-752.0
2020-03-22,h_70,96.0,990,372,158,92,-1266.0
2020-03-22,f_80,37.0,847,45,141,175,-855.0
2020-03-22,h_80,19.0,1175,116,140,238,-1272.0
2020-03-23,f_0,181.0,27,3,71,0,151.0
2020-03-23,h_0,193.0,37,9,73,0,147.0
2020-03-23,f_20,90.0,54,7,104,0,29.0
2020-03-23,h_20,95.0,75,18,105,1,2.0
2020-03-23,f_30,91.0,152,24,148,1,-85.0
2020-03-23,h_30,90.0,211,63,150,1,-184.0
2020-03-23,f_40,98.0,259,48,167,5,-209.0
2020-03-23,h_40,96.0,359,122,170,6,-385.0
2020-03-23,f_50,105.0,511,115,233,10,-521.0
2020-03-23,h_50,103.0,707,295,237,14,-899.0
2020-03-23,f_60,102.0,723,165,196,36,-786.0
2020-03-23,h_60,95.0,1000,425,200,51,-1330.0
2020-03-23,f_70,90.0,850,169,179,86,-929.0
2020-03-23,h_70,81.0,1174,434,182,121,-1527.0
2020-03-23,f_80,31.0,1010,45,157,214,-1024.0
2020-03-23,h_80,16.0,1395,117,160,304,-1496.0
2020-03-24,f_0,447.0,25,3,86,0,419.0
2020-03-24,h_0,475.0,35,7,85,0,433.0
2020-03-24,f_20,220.0,61,8,134,0,151.0
2020-03-24,h_20,234.0,86,20,133,1,128.0
2020-03-24,f_30,224.0,165,29,196,1,30.0
2020-03-24,h_30,221.0,232,74,194,2,-85.0
2020-03-24,f_40,242.0,309,58,214,5,-125.0
2020-03-24,h_40,236.0,436,149,213,8,-349.0
2020-03-24,f_50,258.0,599,143,297,14,-484.0
2020-03-24,h_50,254.0,846,366,294,22,-958.0
2020-03-24,f_60,250.0,847,193,265,45,-790.0
2020-03-24,h_60,234.0,1196,497,263,69,-1459.0
2020-03-24,f_70,222.0,995,205,227,101,-978.0
2020-03-24,h_70,200.0,1404,527,225,157,-1731.0
2020-03-24,f_80,77.0,1162,54,207,259,-1139.0
2020-03-24,h_80,39.0,1640,139,205,403,-1740.0
2020-03-25,f_0,285.0,29,4,98,0,252.0
2020-03-25,h_0,303.0,41,10,97,1,252.0
2020-03-25,f_20,140.0,66,8,161,1,66.0
2020-03-25,h_20,149.0,97,21,159,1,31.0
2020-03-25,f_30,143.0,189,30,242,1,-76.0
2020-03-25,h_30,141.0,274,81,238,2,-214.0
2020-03-25,f_40,154.0,365,66,282,6,-277.0
2020-03-25,h_40,150.0,530,179,278,9,-559.0
2020-03-25,f_50,164.0,697,160,367,19,-693.0
2020-03-25,h_50,162.0,1013,433,362,27,-1284.0
2020-03-25,f_60,159.0,996,226,335,56,-1063.0
2020-03-25,h_60,149.0,1450,613,331,83,-1914.0
2020-03-25,f_70,142.0,1172,232,288,130,-1262.0
2020-03-25,h_70,128.0,1706,627,284,191,-2205.0
2020-03-25,f_80,49.0,1344,56,257,343,-1351.0
2020-03-25,h_80,25.0,1955,152,253,503,-2082.0
2020-03-26,f_0,341.0,33,4,105,0,304.0
2020-03-26,h_0,363.0,48,12,104,1,303.0
2020-03-26,f_20,168.0,74,9,186,1,85.0
2020-03-26,h_20,178.0,109,24,184,1,45.0
2020-03-26,f_30,171.0,209,33,288,2,-71.0
2020-03-26,h_30,168.0,306,91,284,4,-229.0
2020-03-26,f_40,185.0,413,73,342,7,-301.0
2020-03-26,h_40,180.0,604,199,337,10,-623.0
2020-03-26,f_50,197.0,802,187,459,24,-792.0
2020-03-26,h_50,194.0,1175,515,454,35,-1496.0
2020-03-26,f_60,191.0,1148,259,409,68,-1216.0
2020-03-26,h_60,178.0,1681,709,404,100,-2212.0
2020-03-26,f_70,170.0,1340,259,356,164,-1429.0
2020-03-26,h_70,153.0,1962,710,351,241,-2519.0
