infected_hosp,hosp_icu,hosp_death,infected_death,demography
0.001,0.175,0.012,0.0,h_0
0.0009,0.085,1e-05,0.0,f_0
0.006,0.122,0.013000000000000001,7.000000000000001e-05,h_20
0.005,0.068,0.013999999999999999,7.000000000000001e-05,f_20
0.012,0.172,0.025,0.0003,h_30
0.009000000000000001,0.10400000000000001,0.016,9.999999999999999e-05,f_30
0.016,0.243,0.039,0.0006,h_40
0.013000000000000001,0.14300000000000002,0.032,0.00039999999999999996,f_40
0.032,0.317,0.075,0.002,h_50
0.025,0.19,0.064,0.002,f_50
0.07,0.364,0.142,0.01,h_60
0.053,0.21600000000000005,0.12,0.006,f_60
0.11399999999999999,0.29,0.253,0.029,h_70
0.08,0.17,0.207,0.017,f_70
0.314,0.056999999999999995,0.42,0.132,h_80
0.159,0.034,0.34,0.05400000000000001,f_80
