,day,hosp,icu,death
0,2020-03-18,2972,771,218
1,2020-03-19,4073,1002,327
2,2020-03-20,5226,1297,450
3,2020-03-21,5900,1453,525
4,2020-03-22,6954,1674,632
5,2020-03-23,8673,2080,860
6,2020-03-24,10176,2516,1100
7,2020-03-25,12072,2935,1388
8,2020-03-26,13879,3351,1696
9,2020-03-27,15701,3758,1995
10,2020-03-28,17580,4236,2314
11,2020-03-29,19311,4592,2606
12,2020-03-30,20946,5056,3024
13,2020-03-31,22672,5496,3523
14,2020-04-01,24543,5940,4032
15,2020-04-02,26131,6305,4503
16,2020-04-03,27302,6556,5091
17,2020-04-04,28003,6723,5532
18,2020-04-05,28747,6859,5889
19,2020-04-06,29569,6948,6494
20,2020-04-07,29871,7004,7091
21,2020-04-08,30217,7019,7632
22,2020-04-09,30608,6937,8044
23,2020-04-10,31108,6875,8598
24,2020-04-11,31159,6752,8943
25,2020-04-12,31665,6714,9253
26,2020-04-13,31952,6690,9588
27,2020-04-14,32131,6599,10129
28,2020-04-15,31623,6331,10643
29,2020-04-16,31172,6139,11053
30,2020-04-17,31061,5922,11470
31,2020-04-18,30515,5733,11834
32,2020-04-19,30486,5644,12061
33,2020-04-20,30462,5584,12505
34,2020-04-21,29984,5334,12892
35,2020-04-22,29627,5127,13225
36,2020-04-23,29113,4967,13536
37,2020-04-24,28554,4785,13841
38,2020-04-25,28119,4641,14039
39,2020-04-26,28114,4598,14191
40,2020-04-27,27954,4526,14486
41,2020-04-28,27607,4392,14676
42,2020-04-29,26736,4128,15041
43,2020-04-30,26192,3947,15231
44,2020-05-01,25809,3819,15350
45,2020-05-02,25751,3770,15468
46,2020-05-03,25739,3762,15564
47,2020-05-04,25472,3639,15807
48,2020-05-05,24701,3375,16041
49,2020-05-06,23912,3095,16218
50,2020-05-07,23139,2911,16367
51,2020-05-08,22657,2820,16478
52,2020-05-09,22547,2764,16554
53,2020-05-10,22502,2728,16623
54,2020-05-11,22219,2666,16801
55,2020-05-12,21530,2496,16984
56,2020-05-13,21009,2385,17082
